cache_size,block_size,associativity,lru_fifo,num_lines,hits,misses,replacements,num_requests
16384,32,256,lru,512,502395,13288,12776,515683
16384,64,1,lru,256,155275,360408,360344,515683
16384,64,2,lru,256,271519,244164,244036,515683
16384,64,4,lru,256,388421,127262,127006,515683
16384,64,8,lru,256,443399,72284,72028,515683
16384,64,16,lru,256,467081,48602,48346,515683
16384,64,32,lru,256,487378,28305,28049,515683
16384,64,64,lru,256,500793,14890,14634,515683
16384,64,128,lru,256,507621,8062,7806,515683
16384,64,256,lru,256,511250,4433,4177,515683
